Video analysis detailed log																						
																						
Face Model:	General																					
Calibration:	-																					
Start time:	11/21/2017 11:39:47.805																					
Filename:	D:\Testings\Movie Samples & FR Analysis Logs - CK\2\4.avi																					
Frame rate:	14																					
																						
Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Gender	Age	Beard	Moustache	Glasses	Ethnicity	Quality	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Identity	Stimulus	Event Marker
00:00.6	0.8970941	0.02413228	0.02604649	0.04789607	0.0117997	0.01171823	0.0242921	Female	25 - 35	None	None	No	Caucasian	0.9564838	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.6	0.8976219	0.02421913	0.02601479	0.04771965	0.01195197	0.01162626	0.02354195	Female	25 - 35	None	None	No	Caucasian	0.9574803	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.7	0.8981479	0.02431377	0.02593145	0.04758379	0.01212856	0.01153491	0.02284483	Female	25 - 35	None	None	No	Caucasian	0.9590831	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.7	0.8988419	0.02446188	0.02577553	0.04745806	0.01227765	0.01137884	0.02225767	Female	25 - 35	None	None	No	Caucasian	0.9584557	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.8	0.8997025	0.02458546	0.02560732	0.0472261	0.01248426	0.01121418	0.02167116	Female	25 - 35	None	None	No	Caucasian	0.9572629	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.8	0.900593	0.02472824	0.02543474	0.04697566	0.0126901	0.01105037	0.02113316	Female	25 - 35	None	None	No	Caucasian	0.9584605	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.8	0.901467	0.02488149	0.02521641	0.04675544	0.01284912	0.01090491	0.02062164	Female	25 - 35	None	None	No	Caucasian	0.9581996	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.9	0.9019578	0.02507301	0.02504761	0.0465438	0.01300434	0.01087182	0.02018787	Female	25 - 35	None	None	No	Caucasian	0.9593821	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:00.9	0.9023188	0.02522301	0.02496509	0.04633116	0.01318293	0.01086115	0.01973663	Female	25 - 35	None	None	No	Caucasian	0.9508134	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.0	0.9028265	0.02529689	0.02485581	0.04609728	0.01336637	0.01084251	0.01926333	Female	25 - 35	None	None	No	Caucasian	0.959848	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.0	0.9030623	0.02531139	0.02477057	0.0459093	0.01355172	0.01086414	0.01879007	Female	25 - 35	None	None	No	Caucasian	0.9630902	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.0	0.9030258	0.0252992	0.02471274	0.04588777	0.01369023	0.01093326	0.01835564	Female	25 - 35	None	None	No	Caucasian	0.9587361	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.1	0.9032274	0.02529767	0.0245731	0.04581691	0.01381319	0.01094851	0.0179709	Female	25 - 35	None	None	No	Caucasian	0.9591079	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.1	0.9029852	0.02533386	0.02449146	0.04583989	0.01393673	0.0110763	0.01763745	Female	25 - 35	None	None	No	Caucasian	0.958967	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.2	0.9023244	0.02541963	0.02446073	0.0459732	0.01403473	0.01123158	0.01752392	Female	25 - 35	None	None	No	Caucasian	0.9593112	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.2	0.9010036	0.02553544	0.02454618	0.04603956	0.01409372	0.01141205	0.01798563	Female	25 - 35	None	None	No	Caucasian	0.960302	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.2	0.898926	0.02574286	0.02479799	0.04600661	0.01414031	0.01164749	0.01911183	Female	25 - 35	None	None	No	Caucasian	0.9591255	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.3	0.8955805	0.02603294	0.02515157	0.04599028	0.01415319	0.01195665	0.02147737	Female	25 - 35	None	None	No	Caucasian	0.9619731	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.3	0.890349	0.02640542	0.0256714	0.04607346	0.01410212	0.01232657	0.0254208	Female	25 - 35	None	None	No	Caucasian	0.9626121	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.4	0.8825248	0.02678215	0.02644927	0.04611552	0.01399789	0.01273906	0.03137974	Female	25 - 35	None	None	No	Caucasian	0.9614949	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.4	0.8717645	0.02728401	0.02737265	0.04626982	0.01384462	0.01295392	0.03988081	Female	25 - 35	None	None	No	Caucasian	0.9624567	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.4	0.8585725	0.02778271	0.02821869	0.04635992	0.01362736	0.01307096	0.05089458	Female	25 - 35	None	None	No	Caucasian	0.9642349	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.5	0.843751	0.02854242	0.02901663	0.04643235	0.0133703	0.01308189	0.063262	Female	25 - 35	None	None	No	Caucasian	0.9637274	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.5	0.8276074	0.02938846	0.02972256	0.04656334	0.01305554	0.01302899	0.07709782	Female	25 - 35	None	None	No	Caucasian	0.9638494	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.6	0.8106122	0.03041373	0.03042064	0.04660866	0.01266516	0.01301108	0.09227299	Female	25 - 35	None	None	No	Caucasian	0.9631692	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.6	0.7925408	0.03153241	0.03109178	0.04659362	0.01219477	0.01301736	0.1094171	Female	25 - 35	None	None	No	Caucasian	0.9627302	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.6	0.7737059	0.03273708	0.03195478	0.04648376	0.01172576	0.01300789	0.1274084	Female	25 - 35	None	None	No	Caucasian	0.9630777	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.7	0.7544385	0.0340507	0.03306949	0.04624413	0.01125336	0.01294245	0.1460931	Female	25 - 35	None	None	No	Caucasian	0.9635147	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.7	0.7345151	0.03549607	0.03395802	0.04600993	0.01076597	0.01309535	0.1646717	Female	25 - 35	None	None	No	Caucasian	0.9620885	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.8	0.7149815	0.03702309	0.03474486	0.04566029	0.01027504	0.01335084	0.1835941	Female	25 - 35	None	None	No	Caucasian	0.9634044	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.8	0.6964899	0.03854774	0.03511656	0.04538412	0.009816229	0.01378414	0.2021345	Female	25 - 35	None	None	No	Caucasian	0.9617342	Unknown (Open / Closed)	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.8	0.6773064	0.04004426	0.0349746	0.04534405	0.009579978	0.01430331	0.2204118	Female	25 - 35	None	None	No	Caucasian	0.9618033	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.9	0.6581639	0.04238559	0.03434452	0.04536114	0.009550421	0.01542378	0.2379245	Female	25 - 35	None	None	No	Caucasian	0.9620313	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:01.9	0.6384425	0.04444249	0.03342606	0.04559699	0.009849794	0.01702016	0.2543856	Female	25 - 35	None	None	No	Caucasian	0.9617716	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.0	0.619024	0.04614383	0.03232152	0.04647378	0.01042402	0.01939293	0.2679235	Female	25 - 35	None	None	No	Caucasian	0.9625752	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.0	0.5997598	0.04753502	0.031072	0.04787365	0.01118303	0.02240038	0.2804967	Female	25 - 35	None	None	No	Caucasian	0.964047	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.0	0.5807635	0.0487298	0.02979566	0.04973425	0.01218508	0.02585759	0.2915049	Female	25 - 35	None	None	No	Caucasian	0.9650314	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.1	0.562417	0.049648	0.0285471	0.05232498	0.01320307	0.02982224	0.301039	Female	25 - 35	None	None	No	Caucasian	0.9637901	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.1	0.5443259	0.05029062	0.02733954	0.05527452	0.01437053	0.03413668	0.3098616	Female	25 - 35	None	None	No	Caucasian	0.9648944	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.2	0.5261245	0.05043962	0.02624515	0.05793582	0.01562301	0.03880183	0.319376	Female	25 - 35	None	None	No	Caucasian	0.9647785	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.2	0.5095624	0.05098137	0.02516966	0.0609837	0.0169431	0.04332278	0.3270473	Female	25 - 35	None	None	No	Caucasian	0.9648739	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.2	0.4936914	0.05123157	0.02427452	0.06390349	0.01838653	0.04790051	0.3342924	Female	25 - 35	None	None	No	Caucasian	0.9643348	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.3	0.4789509	0.05194841	0.02348271	0.06626599	0.01977105	0.05285024	0.3406668	Female	25 - 35	None	None	No	Caucasian	0.9646427	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.3	0.4652164	0.05328153	0.02279329	0.06823366	0.02102567	0.0575907	0.346349	Female	25 - 35	None	None	No	Caucasian	0.965282	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.4	0.4524203	0.0547729	0.02215509	0.07001526	0.02218443	0.06189728	0.3515895	Female	25 - 35	None	None	No	Caucasian	0.9633248	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.4	0.4402538	0.0564495	0.02164906	0.07130969	0.02329668	0.06558146	0.3570435	Female	25 - 35	None	None	No	Caucasian	0.9638085	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.4	0.4291616	0.05831165	0.02118436	0.07247703	0.02435802	0.06865732	0.3620045	Female	25 - 35	None	None	No	Caucasian	0.9639072	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.5	0.4198499	0.0598623	0.02076463	0.07405291	0.02557223	0.07139011	0.3653178	Female	25 - 35	None	None	No	Caucasian	0.9635062	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.5	0.411737	0.06113976	0.02039134	0.07585389	0.02667908	0.07435742	0.3676264	Female	25 - 35	None	None	No	Caucasian	0.964547	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.6	0.4047181	0.06242536	0.01999852	0.07750836	0.02763039	0.0771032	0.369121	Female	25 - 35	None	None	No	Caucasian	0.9639771	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.6	0.3991801	0.06334	0.01957709	0.07926118	0.02872716	0.07978642	0.3693232	Female	25 - 35	None	None	No	Caucasian	0.9626718	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.6	0.3948787	0.0638167	0.01916322	0.08148944	0.02966299	0.0826981	0.3686018	Female	25 - 35	None	None	No	Caucasian	0.9630646	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.7	0.3912528	0.06382677	0.01877714	0.08384991	0.03047379	0.08563846	0.3675606	Female	25 - 35	None	None	No	Caucasian	0.9643181	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.7	0.3882176	0.06341722	0.01844822	0.08626955	0.03119673	0.08836386	0.3666717	Female	25 - 35	None	None	No	Caucasian	0.9645404	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.8	0.386135	0.06287508	0.01824291	0.08801048	0.03175243	0.0908568	0.3655651	Female	25 - 35	None	None	No	Caucasian	0.9654639	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.8	0.3855456	0.06194253	0.01820257	0.08893216	0.0322582	0.09347682	0.3633079	Female	25 - 35	None	None	No	Caucasian	0.9695808	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.8	0.38756	0.06071334	0.01835656	0.08900446	0.03235928	0.09582521	0.3589667	Female	25 - 35	None	None	No	Caucasian	0.9695482	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.9	0.3942814	0.05901804	0.01859765	0.08888768	0.03202959	0.09751444	0.351081	Female	25 - 35	None	None	No	Caucasian	0.9699961	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:02.9	0.4061368	0.05693616	0.01920404	0.08795963	0.03136121	0.09762704	0.340236	Female	25 - 35	None	None	No	Caucasian	0.9702541	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.0	0.4223829	0.05463535	0.02005647	0.08644177	0.03044228	0.09619432	0.3271608	Female	25 - 35	None	None	No	Caucasian	0.9692684	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.0	0.4415075	0.05219772	0.02113931	0.08451815	0.02930899	0.09379549	0.3129145	Female	25 - 35	None	None	No	Caucasian	0.9681391	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.0	0.4626216	0.04973166	0.02233001	0.08254975	0.02818089	0.09076573	0.2975219	Female	25 - 35	None	None	No	Caucasian	0.9684601	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.1	0.4848471	0.04731185	0.02346734	0.08106139	0.02707827	0.08736724	0.2815878	Female	25 - 35	None	None	No	Caucasian	0.9668178	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.1	0.5072615	0.04493279	0.02455379	0.08042629	0.02617103	0.08354735	0.2656631	Female	25 - 35	None	None	No	Caucasian	0.9655656	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.2	0.5299984	0.04266855	0.02551318	0.0803818	0.02535365	0.07967236	0.2496868	Female	25 - 35	None	None	No	Caucasian	0.9671195	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.2	0.5530075	0.04047208	0.02626538	0.08034776	0.02461287	0.07577638	0.2338659	Female	25 - 35	None	None	No	Caucasian	0.965194	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.2	0.5757893	0.03834447	0.02708785	0.08023626	0.02399487	0.07169662	0.2184088	Female	25 - 35	None	None	No	Caucasian	0.9651072	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.3	0.5983639	0.03638478	0.02767795	0.07971683	0.02331918	0.06754913	0.2035941	Female	25 - 35	None	None	No	Caucasian	0.9643626	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.3	0.6203135	0.03457341	0.02810226	0.07881708	0.02262231	0.06355199	0.1895056	Female	25 - 35	None	None	No	Caucasian	0.9652889	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.4	0.6409064	0.03291854	0.02827724	0.07771405	0.02194304	0.05979952	0.1763979	Female	25 - 35	None	None	No	Caucasian	0.965323	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.4	0.6605403	0.03141785	0.02842159	0.07637777	0.02128237	0.05642333	0.1639792	Female	25 - 35	None	None	No	Caucasian	0.9645746	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.4	0.6787153	0.0300935	0.02844042	0.07514074	0.02065498	0.05332918	0.1523376	Female	25 - 35	None	None	No	Caucasian	0.9647605	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
00:03.5	0.6955616	0.02889063	0.0284722	0.07388645	0.02007789	0.05042469	0.1414307	Female	25 - 35	None	None	No	Caucasian	0.9641687	Closed	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker
